TITLE		
DATA TYPE		
ORIGIN	JASCO	
OWNER		
DATE	16/04/28	
TIME	14:54:17	
SPECTROMETER/DATA SYSTEM	"JASCO Corp., J-810, Rev. 1.00"	
RESOLUTION		
DELTAX	-0.2	
XUNITS	NANOMETERS	
YUNITS	CD[mdeg]	
Y2UNITS	HT[V]	
Y3UNITS	External[V]	
FIRSTX	350	
LASTX	240	
NPOINTS	551	
FIRSTY	-1.63827	
MAXY	6.76585	
MINY	-91.55531	
XYDATA		
267	5.48978	373.249
266.8	5.63078	373.317
266.6	5.78087	373.375
266.4	5.92407	373.456
266.2	6.01457	373.528
266	6.00963	373.563
265.8	6.06903	373.609
265.6	6.11502	373.691
265.4	6.17296	373.764
265.2	6.13253	373.826
265	6.14816	373.905
264.8	6.19858	373.999
264.6	6.22828	374.056
264.4	6.24226	374.11
264.2	6.10688	374.196
264	6.12311	374.254
263.8	6.00758	374.28
263.6	5.93457	374.263
263.4	6.03932	374.265
263.2	6.07878	374.2
263	6.10385	374.171
262.8	6.08042	374.175
262.6	6.19996	374.165
262.4	6.22226	374.195
262.2	6.15038	374.198
262	6.14755	374.245
261.8	6.00062	374.256
261.6	5.88565	374.305
261.4	5.80881	374.367
261.2	5.79466	374.434
261	5.84687	374.491
260.8	5.88201	374.559
260.6	6.05314	374.648
260.4	6.27318	374.718
260.2	6.51118	374.801
260	6.60853	374.908
259.8	6.66374	375.036
259.6	6.74484	375.16
259.4	6.76585	375.32
259.2	6.66875	375.447
259	6.64057	375.557
258.8	6.60418	375.683
258.6	6.59228	375.811
258.4	6.52801	375.912
258.2	6.50823	375.958
258	6.50508	375.973
257.8	6.49697	375.98
257.6	6.47005	375.956
257.4	6.45686	375.928
257.2	6.31232	375.9
257	6.24098	375.863
256.8	6.207	375.792
256.6	6.31815	375.727
256.4	6.31448	375.666
256.2	6.28094	375.648
256	6.24618	375.634
255.8	6.30807	375.633
255.6	6.47781	375.659
255.4	6.46893	375.689
255.2	6.40671	375.748
